CookerStat, GenerateAssetRegistry=0.020169, Initialize=0.103954, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_BE5569584466F6981__7C945F358CC0CCB4782F5C0F01CBF6DCD06C11AF, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.026787, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_4451B07F4D51B8FBE__89454EDC1C7E3AA614DD8AD156301A10245002D2, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.934940, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6D71050549E1E36A7__5A71CFC47479183AEEE24617B57A7CA12876E5AA, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.983343, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A325B8FF46A51CB53__694FB2FC15CBD6BE07645DA118287A9B831FC8EE, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.373082, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_73DEEEC24B68F02B7__814A43F02F8532141B1713200BD6253762690621, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=1361, Duration=1.013447, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_CB9E962046E91E48F__2AD05D9D033A7D0BAAE822ADE8F4A576B1A89262, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=2801, Duration=1.047578, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C6E5945E44BBEA544__25E8C1E06280ACB410A63C1CB092B8BD4FF4E359, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=977, Duration=2.512507, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_21, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7727743C431A42653__D4B24260D396B3721EC5E92CA1734DB8563AE826, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.821680, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_21, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0976301B41CF9A644__AF3A49F22A19F04D28BAD125AF2AE5DB52EA27F2, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.854880, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_22, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D23A919841906E483__122A1A82BF79F7F03F10E5C16E5AAB652ECCA0FF, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.791991, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
