CookerStat, GenerateAssetRegistry=0.019856, Initialize=0.106744, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9DF42A954CC403BBA__9839676900104BED2ADF033743F5119BA5CB7912, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.498133, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_15, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8048DE98490198C67__D74CB5240AE96DAED67F22962203367785740302, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.196312, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_42C9EAD0438075B76__49A934D48C79D74F22FF02C0F44CE3F4B9FD1D08, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.850016, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_992BB0114B4DDAFD2__38CA14ED1AFC66F91C71E30B6E02C6C6C04CEDB9, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=1.470208, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3424587E45B3DDE1C__88ED2378DC9F70AEE2B0405675E62352069F534B, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.655245, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7B2931BB40BD99680__3FB346CE786B87993A7986D5E055C71A57C13F6C, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=1.815572, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_637F1E904EBBAAD36__21560AECBDA4B1FAF3DEB1FDD67F55F3FC8836A4, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.614500, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_874A4B104820B14BF__3966329BA6647B101D3A74EFD22143687EFC0329, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.549955, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6C499D464BE0E367F__CB742B1994C83335A5F1F2EF4DEA8375482F85B5, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.480136, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_675B74964E919BC91__598D117C3A885F36002153F74DE20A766E61D992, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.535783, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_2CA229B14F80EB4CE__F46EC0A6E774BB61E260D54A50F33BAED758C4E1, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.727760, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_01DC8E2145477D314__FC3F054212B04CFFD386DF47339A742E15300073, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.761269, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_1795304A47A54E4C2__2A5646FDADEABBC48AA02292A9F06E1BC26BE495, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=1.529474, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F63FB5DC4E3E7CD5D__F4C06F2142936F7455ADAA8ABA684523072A156E, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=3.868837, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_21, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A934C103487FB5019__06E9806AA4E5EA3AF361722C7C477A10ED06E2A4, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=641, Duration=1.470517, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_5D78C9AB4337AB834__DE72BA7BEAFA63BDB40774DBF7D6E9441503BF1A, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.269544, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_22, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_42588EF144739EDCE__EB5991DED12BB26F5539CA1BECD00709F2F020FF, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.992755, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_21, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9899F65347A5F9805__0B0B178ACD387588C96CEEFEC34A5D91691121BB, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=3.464516, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_23, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_4591EF0D4DEF3A6D2__880595DBC7732055AFDC3710E570E9B1ADB6C2AD, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=3.366150, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_21, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A98BA93942134AB95__3002410E899CC80430A5731D63F3E2D06D60DA8C, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=3.273677, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
